City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,Jacksonville,30.3322,-81.6556,77.02,98,40,6.91,US,2022-06-07 11:50:07
190,Hambantota,6.1241,81.1185,86.34,79,20,13.8,LK,2022-06-07 11:53:54
191,Shama,33.6102,104.2852,57.88,84,100,1.59,CN,2022-06-07 11:53:54
192,Nishihara,26.1842,127.7558,74.48,94,75,8.05,JP,2022-06-07 11:53:54
193,Hualmay,-11.0964,-77.6139,62.83,87,93,3.38,PE,2022-06-07 11:53:55
194,Georgetown,5.4112,100.3354,84.15,74,20,7.0,MY,2022-06-07 11:52:27
195,Vila Franca Do Campo,37.7167,-25.4333,66.61,81,85,11.16,PT,2022-06-07 11:53:55
196,Grindavik,63.8424,-22.4338,54.07,76,75,25.32,IS,2022-06-07 11:53:55
197,New Norfolk,-42.7826,147.0587,40.71,85,54,5.01,AU,2022-06-07 11:53:56
198,High Level,58.5169,-117.136,46.51,93,0,0.0,CA,2022-06-07 11:53:56
199,Donskoye,45.4552,41.9741,82.53,36,68,9.1,RU,2022-06-07 11:53:56
200,Zelenoborsk,61.4669,64.0333,65.26,27,36,11.07,RU,2022-06-07 11:53:57
201,Ponta Do Sol,32.6667,-17.1,76.71,74,44,0.96,PT,2022-06-07 11:50:20
202,Tartus,34.889,35.8866,77.81,71,4,11.74,SY,2022-06-07 11:53:57
203,Coihaique,-45.5752,-72.0662,38.01,93,20,1.14,CL,2022-06-07 11:53:58
204,Dingle,10.9995,122.6711,79.84,84,24,1.21,PH,2022-06-07 11:53:58
205,Lavrentiya,65.5833,-171.0,37.09,81,96,1.86,RU,2022-06-07 11:53:58
206,Santa Marta De Tormes,40.9506,-5.6272,77.02,27,0,3.44,ES,2022-06-07 11:53:59
207,Pahrump,36.2083,-115.9839,73.26,31,3,1.99,US,2022-06-07 11:53:59
208,Cukai,4.25,103.4167,78.75,83,80,2.89,MY,2022-06-07 11:53:59
209,Saldanha,-33.0117,17.9442,86.05,34,0,20.07,ZA,2022-06-07 11:54:00
210,Garowe,8.4054,48.4845,88.65,39,100,27.31,SO,2022-06-07 11:54:00
211,Bharthana,26.7571,79.2248,112.66,8,16,12.71,IN,2022-06-07 11:54:00
212,Hervey Bay,-25.2986,152.8535,59.02,67,2,3.0,AU,2022-06-07 11:54:01
213,Rabat,33.9911,-6.8401,75.27,69,20,8.05,MA,2022-06-07 11:49:56
