City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
932,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
934,Albany,US,74.03,clear sky,42.6001,-73.9662,
937,Saint-Philippe,RE,65.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
939,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
941,Oktyabrskoye,RU,66.34,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
942,Cape Town,ZA,66.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
943,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
948,Morehead,US,75.99,broken clouds,37.2711,-87.1764,CCI Express Inn
951,Vila Velha,BR,85.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
954,Petatlan,MX,87.6,scattered clouds,17.5167,-101.2667,Hotel California Petatlán
956,Rio Claro,BR,69.66,overcast clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
957,Syracuse,IT,78.39,clear sky,37.0881,15.2792,Hotel Posta
958,Kavieng,PG,81.1,few clouds,-2.5744,150.7967,Nusa Island Retreat
959,Rabo De Peixe,PT,69.31,scattered clouds,37.8,-25.5833,Quinta das Giestas
960,Faya,SA,79.32,clear sky,18.3851,42.4509,املاك خالد الشعشوع
961,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
962,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
963,Albany,US,74.03,clear sky,42.6001,-73.9662,
964,Camacha,PT,65.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
971,Quang Ngai,VN,79.29,overcast clouds,15.1167,108.8,Central Hotel
972,Sale,MA,85.64,broken clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
973,Hof,DE,67.23,broken clouds,50.3167,11.9167,Hotel Burghof
975,Lorengau,PG,79.83,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
976,Vila Velha,BR,85.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
977,Saint-Philippe,RE,65.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
979,Nova Olinda Do Norte,BR,85.37,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
981,Alta Floresta,BR,73.22,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
983,Avera,US,87.39,overcast clouds,33.194,-82.5271,
985,Shingu,JP,66.67,moderate rain,33.7333,135.9833,Shingu UI Hotel
986,Tabou,CI,77.04,light rain,4.423,-7.3528,hotêl doufoulougou
987,Hilo,US,80.26,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
994,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
995,Aguimes,ES,72.23,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
996,Enshi,CN,68.38,broken clouds,30.3,109.4833,Moevenpick Enshi
997,Atuona,PF,77.38,light rain,-9.8,-139.0333,Villa Enata
1001,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1004,Cape Town,ZA,66.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
1005,Cochrane,CA,72.54,clear sky,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
1007,Acarau,BR,80.94,few clouds,-2.8856,-40.12,castelo pizzaria
1010,Salvador,SV,85.05,overcast clouds,13.8333,-88.9167,Chico's Ranch
1011,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1013,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
1020,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
1021,Albany,US,74.03,clear sky,42.6001,-73.9662,
1022,Meulaboh,ID,75.4,scattered clouds,4.1363,96.1285,Kost Pria
1024,Cururupu,BR,83.7,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
1027,Apatou,GF,82.0,moderate rain,5.155,-54.3472,Yoto quensha
1030,Rutigliano,IT,74.57,clear sky,41.0111,17.0055,Suite Carducci
1031,Jinchang,CN,66.99,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
1032,Hithadhoo,MV,84.54,scattered clouds,-0.6,73.0833,Scoop Guest House
1033,Pangkalanbuun,ID,74.53,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
1034,Yining,CN,70.3,overcast clouds,29.0361,114.5636,Xiushui Hotel
1036,Albany,US,74.03,clear sky,42.6001,-73.9662,
1037,Micheweni,TZ,77.88,broken clouds,-4.9667,39.8333,
1038,Sayyan,YE,69.66,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
1040,Hilo,US,80.26,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
1041,Hasaki,JP,66.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
1043,Maxixe,MZ,69.62,scattered clouds,-23.8597,35.3472,Oceano
1044,Xiongzhou,CN,75.15,light rain,25.1167,114.3,Xinhewan Business Hotel
1045,Jamestown,US,70.05,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
1047,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
1049,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1052,Katsuura,JP,68.14,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
1053,Portland,US,68.97,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
1054,Sao Joao Da Barra,BR,86.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
1055,Puerto Ayora,EC,80.56,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1056,Williams Lake,CA,72.05,broken clouds,52.1415,-122.1445,Stampeder Motel
1058,Fasa,IR,83.44,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
1061,Jamestown,US,70.05,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
1063,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
1064,Carnarvon,AU,69.78,clear sky,-24.8667,113.6333,Hospitality Carnarvon
1067,Panguna,PG,66.67,clear sky,-6.3164,155.4848,
1071,Albany,US,74.03,clear sky,42.6001,-73.9662,
1072,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1073,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
1075,Los Llanos De Aridane,ES,72.12,clear sky,28.6585,-17.9182,Valle Aridane
1077,Santa Ines,BR,80.26,overcast clouds,-3.6667,-45.38,Palace hotel
1079,Inhambane,MZ,69.78,scattered clouds,-23.865,35.3833,Oceano
1082,Eirunepe,BR,83.17,broken clouds,-6.6603,-69.8736,Atrás de você
1083,Ponta Do Sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
1088,Albany,US,74.03,clear sky,42.6001,-73.9662,
1089,Albany,US,74.03,clear sky,42.6001,-73.9662,
1090,Craig,US,80.55,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
1091,Tartus,SY,74.53,clear sky,34.889,35.8866,فنق جوري
1094,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
1098,Albany,US,74.03,clear sky,42.6001,-73.9662,
1100,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
1105,Bontang,ID,78.03,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
1106,Vinh,VN,81.36,overcast clouds,18.6667,105.6667,Vuong Hoan 2
1109,Atambua,ID,72.07,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
1110,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
1115,Saint-Philippe,RE,65.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1116,Liverpool,GB,66.74,few clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
1117,Puerto Ayora,EC,80.56,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1118,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
1119,Saint-Philippe,RE,65.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1120,Hilo,US,80.26,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
1122,Sao Filipe,CV,74.57,clear sky,14.8961,-24.4956,Hotel Xaguate
1125,Baoro,CF,70.7,scattered clouds,5.6667,15.9667,
1127,Sao Jose Da Coroa Grande,BR,79.88,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
1130,Villa Literno,IT,75.94,clear sky,41.0099,14.0805,La Meta Motel
1131,Hilo,US,80.26,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
1134,Hualmay,PE,68.63,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
1136,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
1137,Ranong,TH,79.99,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
1139,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
1144,Kualakapuas,ID,73.71,moderate rain,-3.0091,114.3876,Guest House Izonk
1146,Orlovskiy,RU,67.66,clear sky,46.8714,42.0592,Tulip Hotel
1147,Mathbaria,BD,83.41,overcast clouds,22.2876,89.9593,Shikdar Hotel
1149,Carnarvon,AU,69.78,clear sky,-24.8667,113.6333,Hospitality Carnarvon
1151,Thompson,CA,69.96,few clouds,55.7435,-97.8558,Burntwood Hotel
1152,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
1153,Samarai,PG,79.57,overcast clouds,-10.6167,150.6667,Nuli Sapi
1155,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
1157,Bar-Le-Duc,FR,71.98,few clouds,48.75,5.1667,ibis budget Bar-le-Duc
1160,Phan Thiet,VN,77.86,overcast clouds,10.9333,108.1,Hotel Saigon-PT
1161,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
1163,Dryden,CA,70.09,clear sky,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
1166,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
1167,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
1168,Cape Town,ZA,66.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
1169,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
1170,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
1172,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
1178,Lakatoro,VU,78.75,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
1181,Palmer,US,77.52,broken clouds,42.1584,-72.3287,Wedgewood Motel
1182,Flin Flon,CA,69.64,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
1184,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
1185,Atuona,PF,77.38,light rain,-9.8,-139.0333,Villa Enata
1187,Kirchzarten,DE,74.39,few clouds,47.9667,7.95,Hotel & Restaurant SONNE
1189,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
1195,Jamestown,US,70.05,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
1196,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
1197,Anito,PH,77.81,overcast clouds,12.4497,125.2886,El Felix Cottages
1203,Fatezh,RU,67.98,scattered clouds,52.0891,35.8632,"Hotel ""Fatezh"""
1207,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
